Record Length,Analog:14000
Sample Interval,CH:0.0000000500000
Vertical Units,CH1:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-03 CH4:+5.000000E-01,,,
Vertical Offset,CH1:+6.400000E-04 CH4:+2.700000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,50.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX4R2044,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH4
Second,Volt,Volt
-4.775000E-05,-9.600000E-04,-1.970000E+00
-4.770000E-05,-8.799999E-04,-1.970000E+00
-4.765000E-05,-8.799999E-04,-1.990000E+00
-4.760000E-05,-8.799999E-04,-1.990000E+00
-4.755000E-05,-9.600000E-04,-1.970000E+00
-4.750000E-05,-1.040000E-03,-1.970000E+00
-4.745000E-05,-8.799999E-04,-1.990000E+00
-4.740000E-05,-8.799999E-04,-1.990000E+00
-4.735000E-05,-9.600000E-04,-1.990000E+00
-4.730000E-05,-8.799999E-04,-1.990000E+00
-4.725000E-05,-9.600000E-04,-1.990000E+00
-4.720000E-05,-8.799999E-04,-1.990000E+00
-4.715000E-05,-9.600000E-04,-1.990000E+00
-4.710000E-05,-8.799999E-04,-1.990000E+00
-4.705000E-05,-8.799999E-04,-1.990000E+00
-4.700000E-05,-8.799999E-04,-1.990000E+00
-4.695000E-05,-9.600000E-04,-1.990000E+00
-4.690000E-05,-8.799999E-04,-1.990000E+00
-4.685000E-05,-8.799999E-04,-1.990000E+00
-4.680000E-05,-8.799999E-04,-1.990000E+00
-4.675000E-05,-8.799999E-04,-1.990000E+00
-4.670000E-05,-8.799999E-04,-1.990000E+00
-4.665000E-05,-8.799999E-04,-1.990000E+00
-4.660000E-05,-8.000000E-04,-1.990000E+00
-4.655000E-05,-9.600000E-04,-1.990000E+00
-4.650000E-05,-8.799999E-04,-1.970000E+00
-4.645000E-05,-8.799999E-04,-1.990000E+00
-4.640000E-05,-8.799999E-04,-1.990000E+00
-4.635000E-05,-8.799999E-04,-1.990000E+00
-4.630000E-05,-9.600000E-04,-1.990000E+00
-4.625000E-05,-8.799999E-04,-1.990000E+00
-4.620000E-05,-8.799999E-04,-1.990000E+00
-4.615000E-05,-9.600000E-04,-1.990000E+00
-4.610000E-05,-8.799999E-04,-1.970000E+00
-4.605000E-05,-8.799999E-04,-1.990000E+00
-4.600000E-05,-8.799999E-04,-1.990000E+00
-4.595000E-05,-8.799999E-04,-1.990000E+00
-4.590000E-05,-9.600000E-04,-1.970000E+00
-4.585000E-05,-8.799999E-04,-1.970000E+00
-4.580000E-05,-8.799999E-04,-1.990000E+00
-4.575000E-05,-9.600000E-04,-1.990000E+00
